country,team_id,season,season_start_year,played,wins,draws,losses,goals_for,goals_against,clean_sheets,goal_diff,points
South Africa,1531,2025/26,2025,19,11,4,4,33,17,8,16,37
Spain,9,2022/23,2022,15,8,5,2,29,11,7,18,29
Spain,9,2023/24,2023,8,7,0,1,25,5,4,20,21
Spain,9,2024/25,2024,27,20,6,1,74,26,12,48,66
Sweden,5,2022/23,2022,8,3,1,4,11,12,2,-1,10
Sweden,5,2023/24,2023,12,7,1,4,25,15,4,10,22
Sweden,5,2024/25,2024,19,9,3,7,35,30,4,5,30
Sweden,5,2025/26,2025,4,3,0,1,11,5,1,6,9
Switzerland,15,2022/23,2022,13,5,1,7,13,23,2,-10,16
Switzerland,15,2023/24,2023,10,4,5,1,22,11,3,11,17
Switzerland,15,2024/25,2024,21,8,9,4,34,21,8,13,33
Switzerland,15,2025/26,2025,4,3,1,0,12,4,1,8,10
Tunisia,28,2022/23,2022,15,9,3,3,20,8,11,12,30
Tunisia,28,2023/24,2023,23,14,5,4,38,11,16,27,47
Tunisia,28,2024/25,2024,4,1,3,0,2,0,4,2,6
Tunisia,28,2025/26,2025,20,7,6,7,26,25,3,1,27
Türkiye,777,2022/23,2022,9,6,1,2,24,10,4,14,19
Türkiye,777,2023/24,2023,10,6,2,2,19,13,3,6,20
Türkiye,777,2024/25,2024,25,14,4,7,44,36,8,8,46
Türkiye,777,2025/26,2025,2,1,0,1,2,2,0,0,3
USA,2384,2022/23,2022,28,14,9,5,46,18,15,28,51
USA,2384,2023/24,2023,16,8,5,3,39,13,8,26,29
USA,2384,2024/25,2024,14,4,2,8,15,20,3,-5,14
USA,2384,2025/26,2025,16,10,2,4,32,19,4,13,32
Uruguay,7,2022/23,2022,26,12,6,8,34,25,14,9,42
Uruguay,7,2023/24,2023,4,3,1,0,9,3,1,6,10
Uruguay,7,2024/25,2024,11,4,5,2,18,8,5,10,17
Uruguay,7,2025/26,2025,4,2,1,1,4,6,2,-2,7
Uzbekistan,1568,2022/23,2022,17,12,1,4,39,14,10,25,37
Uzbekistan,1568,2023/24,2023,16,9,5,2,30,14,6,16,32
Uzbekistan,1568,2024/25,2024,1,1,0,0,1,0,1,1,3
Uzbekistan,1568,2025/26,2025,9,5,3,1,13,4,6,9,18
